date,data
2011-04-19:10:40:00,18.240000000000002
2011-04-19:10:45:00,21.105
2011-04-19:10:50:00,19.919999999999998
2011-04-19:10:55:00,22.905
2011-04-19:11:00:00,55.394999999999996
2011-04-19:11:05:00,32.385
2011-04-19:11:10:00,22.71
2011-04-19:11:15:00,25.11
2011-04-19:11:20:00,27.990000000000002
2011-04-19:11:25:00,23.91
2011-04-19:11:30:00,26.94
2011-04-19:11:35:00,25.02
2011-04-19:11:40:00,26.655
2011-04-19:11:45:00,22.005
2011-04-19:11:50:00,26.04
2011-04-19:11:55:00,26.505000000000003
2011-04-19:12:00:00,23.565
2011-04-19:12:05:00,20.235
2011-04-19:12:10:00,24.525000000000002
2011-04-19:12:15:00,21.450000000000003
2011-04-19:12:20:00,22.695
2011-04-19:12:25:00,22.259999999999998
2011-04-19:12:30:00,24.78
2011-04-19:12:35:00,22.965
2011-04-19:12:40:00,25.785000000000004
2011-04-19:12:45:00,29.759999999999998
2011-04-19:12:50:00,25.259999999999998
2011-04-19:12:55:00,27.33
2011-04-19:13:00:00,60.17999999999999
2011-04-19:13:05:00,39.795
2011-04-19:13:10:00,25.634999999999998
2011-04-19:13:15:00,24.285000000000004
2011-04-19:13:20:00,21.78
2011-04-19:13:25:00,20.505
2011-04-19:13:30:00,21.375
2011-04-19:13:35:00,26.130000000000003
2011-04-19:13:40:00,42.0
2011-04-19:13:45:00,38.714999999999996
2011-04-19:13:50:00,39.825
2011-04-19:13:55:00,41.535000000000004
2011-04-19:14:00:00,39.644999999999996
2011-04-19:14:05:00,41.07
2011-04-19:14:10:00,44.865
2011-04-19:14:15:00,38.7
2011-04-19:14:20:00,41.865
2011-04-19:14:25:00,38.685
2011-04-19:14:30:00,41.265
2011-04-19:14:35:00,37.724999999999994
2011-04-19:14:40:00,38.055
2011-04-19:14:45:00,38.835
2011-04-19:14:50:00,40.365
2011-04-19:14:55:00,38.805
2011-04-19:15:00:00,72.87
2011-04-19:15:05:00,48.57000000000001
2011-04-19:15:10:00,40.44
2011-04-19:15:15:00,41.205
2011-04-19:15:20:00,45.480000000000004
2011-04-19:15:25:00,47.49
2011-04-19:15:30:00,45.795
2011-04-19:15:35:00,41.144999999999996
2011-04-19:15:40:00,39.06
2011-04-19:15:45:00,43.905
2011-04-19:15:50:00,46.125
2011-04-19:15:55:00,39.480000000000004
2011-04-19:16:00:00,43.995
2011-04-19:16:05:00,45.63
2011-04-19:16:10:00,44.955
2011-04-19:16:15:00,47.655
2011-04-19:16:20:00,42.24
2011-04-19:16:25:00,42.705
2011-04-19:16:30:00,49.08
2011-04-19:16:35:00,43.11
2011-04-19:16:40:00,44.43
2011-04-19:16:45:00,49.230000000000004
2011-04-19:16:50:00,44.025000000000006
2011-04-19:16:55:00,41.925
2011-04-19:17:00:00,79.005
2011-04-19:17:05:00,51.824999999999996
2011-04-19:17:10:00,43.905
2011-04-19:17:15:00,46.065
2011-04-19:17:20:00,41.31
2011-04-19:17:25:00,40.74
2011-04-19:17:30:00,40.875
2011-04-19:17:35:00,43.2
2011-04-19:17:40:00,44.474999999999994
2011-04-19:17:45:00,44.894999999999996
2011-04-19:17:50:00,46.2
2011-04-19:17:55:00,44.25
2011-04-19:18:00:00,44.07
2011-04-19:18:05:00,42.18
2011-04-19:18:10:00,45.825
2011-04-19:18:15:00,41.37
2011-04-19:18:20:00,38.415
2011-04-19:18:25:00,39.555
2011-04-19:18:30:00,42.435
2011-04-19:18:35:00,36.885
2011-04-19:18:40:00,36.735
2011-04-19:18:45:00,37.695
2011-04-19:18:50:00,36.735
2011-04-19:18:55:00,34.065
2011-04-19:19:00:00,66.24
2011-04-19:19:05:00,43.26
2011-04-19:19:10:00,34.26
2011-04-19:19:15:00,36.915
2011-04-19:19:20:00,33.825
2011-04-19:19:25:00,32.79
2011-04-19:19:30:00,46.335
2011-04-19:19:35:00,25.77
2011-04-19:19:40:00,10.425
2011-04-19:19:45:00,9.39
2011-04-19:19:50:00,7.965
2011-04-19:19:55:00,6.495
2011-04-19:20:00:00,8.445
2011-04-19:20:05:00,8.370000000000001
2011-04-19:20:10:00,6.029999999999999
2011-04-19:20:15:00,5.655
2011-04-19:20:20:00,6.51
2011-04-19:20:25:00,6.404999999999999
2011-04-19:20:30:00,6.0600000000000005
2011-04-19:20:35:00,4.9350000000000005
2011-04-19:20:40:00,5.699999999999999
2011-04-19:20:45:00,4.4399999999999995
2011-04-19:20:50:00,7.035
2011-04-19:20:55:00,7.334999999999999
2011-04-19:21:00:00,33.78
2011-04-19:21:05:00,11.805
2011-04-19:21:10:00,6.404999999999999
2011-04-19:21:15:00,7.41
2011-04-19:21:20:00,6.165000000000001
2011-04-19:21:25:00,8.715
2011-04-19:21:30:00,4.47
2011-04-19:21:35:00,4.41
2011-04-19:21:40:00,4.425000000000001
2011-04-19:21:45:00,6.015
2011-04-19:21:50:00,5.115
2011-04-19:21:55:00,4.38
2011-04-19:22:00:00,7.0649999999999995
2011-04-19:22:05:00,4.0200000000000005
2011-04-19:22:10:00,4.71
2011-04-19:22:15:00,5.64
2011-04-19:22:20:00,4.305
